Date,Time,Acc,Gyro
2025-02-07,14:30:27,"0.19, -0.11, 0.99","-0.55, -0.31, -0.18"
2025-02-07,14:30:27,"0.19, -0.11, 0.99","-0.24, -0.24, -0.18"
2025-02-07,14:30:28,"0.19, -0.11, 0.99","-0.55, -0.37, -0.18"
2025-02-07,14:30:28,"0.19, -0.11, 0.99","-0.18, -0.31, -0.24"
2025-02-07,14:30:29,"0.19, -0.11, 0.99","-0.31, -0.31, -0.18"
2025-02-07,14:30:29,"0.19, -0.11, 0.99","-0.31, -0.31, -0.18"
2025-02-07,14:30:30,"0.19, -0.11, 0.99","-0.49, -0.31, -0.18"
2025-02-07,14:30:30,"0.19, -0.11, 0.99","-0.43, -0.31, -0.24"
2025-02-07,14:30:31,"0.19, -0.11, 0.99","-0.18, -0.24, -0.24"
2025-02-07,14:30:31,"0.19, -0.11, 0.99","-0.85, -0.31, -0.18"
2025-02-07,14:30:32,"0.15, -0.04, 0.94","1.28, 0.85, -0.61"
2025-02-07,14:30:32,"0.19, -0.11, 0.99","-2.50, -0.85, 0.06"
2025-02-07,14:30:33,"0.19, -0.10, 0.99","0.18, -0.24, -0.31"
2025-02-07,14:30:33,"0.19, -0.11, 0.99","0.55, -0.12, -0.24"
2025-02-07,14:30:34,"0.19, -0.10, 0.99","-1.34, -0.49, -0.12"
2025-02-07,14:30:34,"0.19, -0.10, 0.99","-0.24, -0.31, -0.24"
2025-02-07,14:30:35,"0.19, -0.10, 0.99","-0.37, -0.31, -0.18"
2025-02-07,14:30:35,"0.19, -0.10, 0.99","-0.31, -0.31, -0.18"
2025-02-07,14:30:36,"0.19, -0.10, 0.99","-0.31, -0.24, -0.18"
2025-02-07,14:30:36,"0.19, -0.10, 0.99","-0.43, -0.31, -0.18"
2025-02-07,14:30:37,"0.18, -0.10, 0.99","-0.43, -0.31, -0.24"
2025-02-07,14:30:37,"0.18, -0.10, 0.99","-0.43, -0.31, -0.18"
2025-02-07,14:30:38,"0.19, -0.10, 0.99","-0.31, -0.31, -0.24"
2025-02-07,14:30:38,"0.19, -0.10, 0.99","-0.43, -0.31, -0.24"
